group1,group2,F_value,p_value,p_adj
Low,High,11.987714031067636,0.0024604981658541466,0.00369074724878122
Low,Sham,22.159711936654258,1.072436616282232e-4,3.217309848846696e-4
High,Sham,4.951332806996169,0.03773889485959287,0.03773889485959287
