group1,group2,F_value,p_value,p_adj
Low,High,3.369318171690932,0.08133642784720253,0.1220046417708038
Low,Sham,3.684399239441032e-6,0.9984857776386822,0.9984857776386822
High,Sham,7.924250201723741,0.010695950603302421,0.03208785180990727
