group1,group2,F_value,p_value,p_adj
Low,High,7.217496962332939,0.014189534916594524,0.021284302374891786
Low,Sham,0.22485690923957485,0.6400364617024528,0.6400364617024528
High,Sham,7.447086743836877,0.012931333383444618,0.021284302374891786
