group1,group2,df,df_denom,F_value,p_value,p_adj
Sham,High,1,84,36.66424490605852,3.7993077930336013e-8,1.1397923379100803e-7
Sham,Low,1,83,15.4873221035704,1.7185967004201082e-4,2.577895050630162e-4
High,Low,1,97,3.221901765735977,0.07577365686535212,0.07577365686535212
