group1,group2,df,df_denom,F_value,p_value,p_adj
Low,High,1,20,11.987714031067636,0.0024604981658541466,0.00369074724878122
Low,Sham,1,22,22.159711936654258,1.072436616282232e-4,3.217309848846696e-4
High,Sham,1,20,4.951332806996169,0.0377388948595929,0.0377388948595929
