group1,group2,F_value,df,df_denom,p_value,p_adj
Sham,High,17.38402627682571,1,98,6.597498069638085e-5,1.9792494208914255e-4
Sham,Low,7.337616439683811,1,97,0.007983418878103317,0.011975128317154974
High,Low,6.286087433106728,1,97,0.013830545582711688,0.013830545582711688
