group1,group2,df,df_denom,F_value,p_value,p_adj
Low,High,1,20,7.217496962332939,0.014189534916594524,0.021284302374891786
Low,Sham,1,22,0.22485690923957485,0.6400364617024528,0.6400364617024528
High,Sham,1,20,7.447086743836877,0.012931333383444618,0.021284302374891786
