"","Estimate","Std. Error","z value","Pr(>|z|)","AIC","Deviance","Null_Deviance","Residual_Df","Null_Df"
"(Intercept)",4.29565689151978,3.21565104523078,1.3358591560769,0.181595313143098,89.4656860248275,83.4656860248275,147.84655287869,142,144
"elisa_od_41",-226.673371957786,74.2187160000674,-3.05412683180318,0.00225716632136912,89.4656860248275,83.4656860248275,147.84655287869,142,144
"log10.sec_dose",1.87400174678734,0.34091581639963,5.49696334590293,3.86386972654473e-08,89.4656860248275,83.4656860248275,147.84655287869,142,144
