"","Estimate","Std. Error","z value","Pr(>|z|)","AIC","Deviance","Null_Deviance","Residual_Df","Null_Df"
"(Intercept)",-3.69848123173694,1.25677552883671,-2.94283358235048,0.00325223193328848,76.2844233684588,70.2844233684588,121.72861968713,128,130
"elisa_od_14",-48.7586760728239,17.3409955510736,-2.81175760233704,0.00492716190996382,76.2844233684588,70.2844233684588,121.72861968713,128,130
"log10.sec_dose",1.87459187545626,0.373112282286899,5.02420307357992,5.05527249523085e-07,76.2844233684588,70.2844233684588,121.72861968713,128,130
