"","primary_treatment","CV_tes","PV_tes","mean_tes","SE_tes","CV_quantity","PV_quantity","mean_quantity","SE_quantity","CV_lmax_quantity","PV_lmax_quantity","mean_lmax_quantity","SE_lmax_quantity","n_individuals"
"1","Sham",0.62060161677016,0.4713646856861,2.5,0.448059790382462,0.815903441386584,0.548129433760869,106764.2658075,25146.5336386873,0.0722189257417428,0.0808722716294616,4.90245845218705,0.102226360880622,12
"2","Low",0.842712234555198,0.694789915432892,1.5,0.516397779494322,1.00937841770673,0.632231810351122,117454.904550433,48400.8783603726,0.269239044072617,0.233188419854955,4.57057263571161,0.502490712595925,6
"3","High",0,0,0,0,0.538648151604913,0.551650071020829,95.440075025,36.732265575,0.12625105363264,0.16391295498886,1.95022258550136,0.174191447349705,2
