"","Estimate","Std. Error","z value","Pr(>|z|)","AIC","Deviance","Null_Deviance","Residual_Df","Null_Df"
"(Intercept)",-4.59513814434708,3.82086357689149,-1.20264386620302,0.22911416485913,108.470548484475,102.470548484475,148.308366302428,143,145
"elisa_od_pre",-23.4040744136513,80.6911291033883,-0.290045196711327,0.771781661027599,108.470548484475,102.470548484475,148.308366302428,143,145
"log10.sec_dose",1.60442592370689,0.284236185397685,5.64469271026164,1.65476536629608e-08,108.470548484475,102.470548484475,148.308366302428,143,145
