"","Estimate","Std. Error","z value","Pr(>|z|)","AIC","Deviance","Null_Deviance","Residual_Df","Null_Df"
"(Intercept)",-2.82419484887843,1.38654224240516,-2.03686174319468,0.0416638988300863,71.5095100696295,65.5095100696296,120.028675201621,132,134
"elisa_od_14",-71.2086011903383,24.150569644728,-2.94852677339985,0.00319292481442106,71.5095100696295,65.5095100696296,120.028675201621,132,134
"log10.sec_dose",1.94963126102494,0.399836818397862,4.87606736377374,1.08221664544839e-06,71.5095100696295,65.5095100696296,120.028675201621,132,134
