"","Estimate","Std. Error","z value","Pr(>|z|)","AIC","Deviance","Null_Deviance","Residual_Df","Null_Df"
"(Intercept)",4.03548086466047,3.21278368358322,1.25606989517567,0.209090629851938,92.1274419984483,86.1274419984483,146.87482276484,146,148
"elisa_od_41",-218.095599870041,73.5248451393369,-2.96628438260194,0.00301421632375725,92.1274419984483,86.1274419984483,146.87482276484,146,148
"log10.sec_dose",1.79107002641045,0.327949670018099,5.46141737636633,4.72348073992968e-08,92.1274419984483,86.1274419984483,146.87482276484,146,148
