"","Estimate","Std. Error","z value","Pr(>|z|)","AIC","Deviance","Null_Deviance","Residual_Df","Null_Df"
"(Intercept)",-4.84087892733404,3.72934867385879,-1.29804943186638,0.194270349304365,109.94437435915,103.94437435915,147.30611805525,147,149
"elisa_od_pre",-16.5265028848108,78.0037793246443,-0.211867976499306,0.832210034486525,109.94437435915,103.94437435915,147.30611805525,147,149
"log10.sec_dose",1.55427313057217,0.280899321999966,5.53320356740609,3.14434180383004e-08,109.94437435915,103.94437435915,147.30611805525,147,149
