date,dppi,dpsi,bird_ID,band_number,swab_id,mass,l_eye_score,r_eye_score,scorer,swab,swabber,plasma,tears,tears_vol_l,tears_vol_r,rbcs,smear,experiment_notes,capture_date,population,capture_location,experiment_location,antimalarials,primary_treatment,primary_dose,primary_inoc_date,secondary_treatment,secondary_dose,secondary_inoc_date,recovered_prior_sec,elisa_date,od_mean,room,stack,cage,sex,mass_cap,vital_notes,qpcr_plate,qpcr_date,well,cq_value,quantity,quantity1,log10_quantity1,extraction_plate,extraction_date,cq8,cq7,cq6,cq5,cq4,cq3,cq2,cq1,qpcr_neg_cntrls,slope,efficiency,r2,yinter,error
20211011,-8,-50,-8_2451,2451,2451 PID -8,20.9,na,na,na,y,dmh,y,n,na,na,n,n,NA,20210723,va,sr,vt,n,high,30000,20211019,1,30,20211130,y,20210915,0.041,l,4,3,m,20.5,NA,3,20220401,G7,Undetermined,0,1,0,2,20211208,9.479825452,11.48732104,15.0677324,18.94896454,na,25.36530625,29.01730143,na,neg,-3.37,99.397,0.996,37.422,0.052
20211011,-8,-50,-8_2461,2461,2461 PID -8,20.3,na,na,na,y,dmh,y,n,na,na,n,y,Left eye slightly droopy,20210723,va,sr,vt,n,high,30000,20211019,0,0,20211130,y,20210917,0.043,l,4,2,m,19.7,NA,3,20220401,C7,Undetermined,0,1,0,2,20211208,9.479825452,11.48732104,15.0677324,18.94896454,na,25.36530625,29.01730143,na,neg,-3.37,99.397,0.996,37.422,0.052
20211011,-8,-50,-8_2469,2469,2469 PID -8,20.7,na,na,na,y,dmh,y,n,na,na,n,y,NA,20210723,va,sr,vt,n,high,30000,20211019,4,7000,20211130,y,20210917,0.05,f,5,4,m,19.6,NA,2,20220401,C9,Undetermined,0,1,0,2,20211208,10.794,12.708,16.308,na,na,26.56,30.458,na,neg,-3.349,0.995,98.879,38.744,0.063
20211011,-8,-50,-8_2471,2471,2471 PID -8,18.4,na,na,na,y,dmh,y,n,na,na,n,n,NA,20210726,va,sr,vt,n,sham,0,20211019,1,30,20211130,y,20210917,0.042,k,1,1,m,18.6,NA,3,20220401,H4,Undetermined,0,1,0,2,20211208,9.479825452,11.48732104,15.0677324,18.94896454,na,25.36530625,29.01730143,na,neg,-3.37,99.397,0.996,37.422,0.052
20211011,-8,-50,-8_2472,2472,2472 PID -8,21.8,na,na,na,y,dmh,y,n,na,na,n,n,NA,20210726,va,sr,vt,n,sham,0,20211019,2,100,20211130,y,20210917,0.044,j,1,1,f,20.1,NA,2,20220401,C11,Undetermined,0,1,0,2,20211208,10.794,12.708,16.308,na,na,26.56,30.458,na,neg,-3.349,0.995,98.879,38.744,0.063
20211011,-8,-50,-8_2473,2473,2473 PID -8,19.4,na,na,na,y,dmh,y,n,na,na,n,n,NA,20210726,va,sr,vt,n,low,750,20211019,1,30,20211130,y,20210924,0.045,e,2,2,m,19.9,NA,3,20220401,F9,Undetermined,0,1,0,2,20211208,9.479825452,11.48732104,15.0677324,18.94896454,na,25.36530625,29.01730143,na,neg,-3.37,99.397,0.996,37.422,0.052
20211011,-8,-50,-8_2475,2475,2475 PID -8,20.6,na,na,na,y,dmh,y,n,na,na,n,n,NA,20210726,va,sr,vt,n,sham,0,20211019,3,300,20211130,y,20210917,0.043,j,2,1,m,20.7,NA,2,20220401,B7,Undetermined,0,1,0,2,20211208,10.794,12.708,16.308,na,na,26.56,30.458,na,neg,-3.349,0.995,98.879,38.744,0.063
20211011,-8,-50,-8_2476,2476,2476 PID -8,20.9,na,na,na,y,dmh,y,n,na,na,n,n,NA,20210726,va,sr,vt,n,high,30000,20211019,2,100,20211130,y,20210917,0.044,k,4,4,m,20.8,NA,3,20220401,C4,Undetermined,0,1,0,2,20211208,9.479825452,11.48732104,15.0677324,18.94896454,na,25.36530625,29.01730143,na,neg,-3.37,99.397,0.996,37.422,0.052
20211011,-8,-50,-8_2477,2477,2477 PID -8,19.7,na,na,na,y,dmh,y,n,na,na,n,y,NA,20210727,va,lh,vt,n,high,30000,20211019,0,0,20211130,y,20210917,0.047,j,4,2,f,20,NA,2,20220401,H11,Undetermined,0,1,0,2,20211208,10.794,12.708,16.308,na,na,26.56,30.458,na,neg,-3.349,0.995,98.879,38.744,0.063
20211011,-8,-50,-8_2478,2478,2478 PID -8,22.9,na,na,na,y,dmh,y,n,na,na,n,n,NA,20210727,va,lh,vt,n,high,30000,20211019,2,100,20211130,y,20210917,0.049,f,5,2,f,22,NA,2,20220401,C8,Undetermined,0,1,0,2,20211208,10.794,12.708,16.308,na,na,26.56,30.458,na,neg,-3.349,0.995,98.879,38.744,0.063
20211011,-8,-50,-8_2480,2480,2480 PID -8,18.7,na,na,na,y,dmh,y,n,na,na,n,n,NA,20210727,va,lh,vt,n,high,30000,20211019,3,300,20211130,y,20210917,0.044,j,3,3,f,18.8,NA,2,20220401,G10,Undetermined,0,1,0,2,20211208,10.794,12.708,16.308,na,na,26.56,30.458,na,neg,-3.349,0.995,98.879,38.744,0.063
20211011,-8,-50,-8_2483,2483,2483 PID -8,22.6,na,na,na,y,dmh,y,n,na,na,n,n,NA,20210727,va,lh,vt,n,high,30000,20211019,2,100,20211130,y,20210917,0.045,k,3,3,f,21.6,NA,2,20220401,E7,Undetermined,0,1,0,2,20211208,10.794,12.708,16.308,na,na,26.56,30.458,na,neg,-3.349,0.995,98.879,38.744,0.063
20211011,-8,-50,-8_2485,2485,2485 PID -8,24.3,na,na,na,y,dmh,y,n,na,na,n,y,NA,20210727,va,lh,vt,n,low,750,20211019,4,7000,20211130,y,20210917,0.044,l,2,4,m,20.2,NA,3,20220401,A7,Undetermined,0,1,0,2,20211208,9.479825452,11.48732104,15.0677324,18.94896454,na,25.36530625,29.01730143,na,neg,-3.37,99.397,0.996,37.422,0.052
20211011,-8,-50,-8_2486,2486,2486 PID -8,18.5,na,na,na,y,dmh,y,n,na,na,n,y,NA,20210727,va,lh,vt,n,high,30000,20211019,4,7000,20211130,y,20210917,0.048,e,4,2,m,19.1,NA,3,20220401,E7,Undetermined,0,1,0,2,20211208,9.479825452,11.48732104,15.0677324,18.94896454,na,25.36530625,29.01730143,na,neg,-3.37,99.397,0.996,37.422,0.052
20211011,-8,-50,-8_2487,2487,2487 PID -8,19.3,na,na,na,y,dmh,y,n,na,na,n,y,NA,20210727,va,lh,vt,n,sham,0,20211019,0,0,20211130,y,20210917,0.044,e,1,2,m,20,"banded leg R bleeding, ointment",3,20220401,E5,Undetermined,0,1,0,2,20211208,9.479825452,11.48732104,15.0677324,18.94896454,na,25.36530625,29.01730143,na,neg,-3.37,99.397,0.996,37.422,0.052
20211011,-8,-50,-8_2489,2489,2489 PID -8,20.6,na,na,na,y,dmh,y,n,na,na,n,n,NA,20210727,va,lh,vt,n,sham,0,20211019,2,100,20211130,y,20210917,0.043,f,2,1,m,18.9,NA,2,20220401,E8,Undetermined,0,1,0,2,20211208,10.794,12.708,16.308,na,na,26.56,30.458,na,neg,-3.349,0.995,98.879,38.744,0.063
20211011,-8,-50,-8_2490,2490,2490 PID -8,19.2,na,na,na,y,dmh,y,n,na,na,n,n,Left eye slight cage injury,20210727,va,lh,vt,n,sham,0,20211019,2,100,20211130,y,20210924,0.042,e,1,3,f,19.2,NA,3,20220401,C5,Undetermined,0,1,0,2,20211208,9.479825452,11.48732104,15.0677324,18.94896454,na,25.36530625,29.01730143,na,neg,-3.37,99.397,0.996,37.422,0.052
20211011,-8,-50,-8_2491,2491,2491 PID -8,20.6,na,na,na,y,dmh,y,n,na,na,n,n,NA,20210727,va,lh,vt,n,sham,0,20211019,2,100,20211130,y,20210917,0.049,k,1,4,m,19.7,NA,3,20220401,G4,Undetermined,0,1,0,2,20211208,9.479825452,11.48732104,15.0677324,18.94896454,na,25.36530625,29.01730143,na,neg,-3.37,99.397,0.996,37.422,0.052
20211011,-8,-50,-8_2492,2492,2492 PID -8,17.6,na,na,na,y,dmh,y,n,na,na,n,y,NA,20210729,va,sr,vt,n,high,30000,20211019,4,7000,20211130,y,20210917,0.049,k,4,2,m,17,minor bleed on L wing,2,20220401,H7,Undetermined,0,1,0,2,20211208,10.794,12.708,16.308,na,na,26.56,30.458,na,neg,-3.349,0.995,98.879,38.744,0.063
20211011,-8,-50,-8_2493,2493,2493 PID -8,19.1,na,na,na,y,dmh,y,n,na,na,n,n,NA,20210729,va,sr,vt,n,sham,0,20211019,3,300,20211130,y,20210917,0.042,f,1,2,f,18.3,NA,2,20220401,B9,Undetermined,0,1,0,2,20211208,10.794,12.708,16.308,na,na,26.56,30.458,na,neg,-3.349,0.995,98.879,38.744,0.063
20211011,-8,-50,-8_2494,2494,2494 PID -8,22.2,na,na,na,y,dmh,y,n,na,na,n,n,NA,20210729,va,sr,vt,n,high,30000,20211019,3,300,20211130,y,20210917,0.044,e,4,1,f,21.1,NA,3,20220401,D7,Undetermined,0,1,0,2,20211208,9.479825452,11.48732104,15.0677324,18.94896454,na,25.36530625,29.01730143,na,neg,-3.37,99.397,0.996,37.422,0.052
20211011,-8,-50,-8_2495,2495,2495 PID -8,19.6,na,na,na,y,dmh,y,n,na,na,n,n,NA,20210729,va,sr,vt,n,low,750,20211019,3,300,20211130,y,20210917,0.043,j,2,4,m,18.4,NA,2,20220401,B11,Undetermined,0,1,0,2,20211208,10.794,12.708,16.308,na,na,26.56,30.458,na,neg,-3.349,0.995,98.879,38.744,0.063
20211011,-8,-50,-8_2496,2496,2496 PID -8,20.2,na,na,na,y,dmh,y,n,na,na,n,n,NA,20210729,va,sr,vt,n,low,750,20211019,3,300,20211130,y,20210917,0.042,k,2,4,m,20,NA,3,20220401,F4,Undetermined,0,1,0,2,20211208,9.479825452,11.48732104,15.0677324,18.94896454,na,25.36530625,29.01730143,na,neg,-3.37,99.397,0.996,37.422,0.052
20211011,-8,-50,-8_2497,2497,2497 PID -8,20.4,na,na,na,y,dmh,y,n,na,na,n,y,NA,20210729,va,sr,vt,n,sham,0,20211019,4,7000,20211130,y,20210917,0.045,j,1,2,m,19.6,NA,2,20220401,G11,Undetermined,0,1,0,2,20211208,10.794,12.708,16.308,na,na,26.56,30.458,na,neg,-3.349,0.995,98.879,38.744,0.063
20211011,-8,-50,-8_2498,2498,2498 PID -8,25,na,na,na,y,dmh,y,n,na,na,n,n,Bird lost tail,20210729,va,sr,vt,n,sham,0,20211019,3,300,20211130,y,20210917,0.042,k,1,2,f,20.3,lost tail on day -7,3,20220401,B4,Undetermined,0,1,0,2,20211208,9.479825452,11.48732104,15.0677324,18.94896454,na,25.36530625,29.01730143,na,neg,-3.37,99.397,0.996,37.422,0.052
20211011,-8,-50,-8_2499,2499,2499 PID -8,20.5,na,na,na,y,dmh,y,n,na,na,n,y,NA,20210729,va,sr,vt,n,low,750,20211019,4,7000,20211130,y,20210917,0.043,j,3,1,m,19.4,NA,2,20220401,E11,Undetermined,0,1,0,2,20211208,10.794,12.708,16.308,na,na,26.56,30.458,na,neg,-3.349,0.995,98.879,38.744,0.063
20211011,-8,-50,-8_2502,2502,2502 PID -8,22.5,na,na,na,y,dmh,y,n,na,na,n,n,NA,20210729,va,sr,vt,n,low,750,20211019,2,100,20211130,y,20210917,0.05,k,3,1,f,19.6,NA,3,20220401,E9,Undetermined,0,1,0,2,20211208,9.479825452,11.48732104,15.0677324,18.94896454,na,25.36530625,29.01730143,na,neg,-3.37,99.397,0.996,37.422,0.052
20211011,-8,-50,-8_2503,2503,2503 PID -8,21.5,na,na,na,y,dmh,y,n,na,na,n,n,NA,20210729,va,sr,vt,n,sham,0,20211019,3,300,20211130,y,20210917,0.044,f,1,4,m,19.7,NA,2,20220401,F10,Undetermined,0,1,0,2,20211208,10.794,12.708,16.308,na,na,26.56,30.458,na,neg,-3.349,0.995,98.879,38.744,0.063
20211011,-8,-50,-8_2504,2504,2504 PID -8,19.2,na,na,na,y,dmh,y,n,na,na,n,n,NA,20210729,va,sr,vt,n,high,30000,20211019,2,100,20211130,y,20210917,0.042,e,3,4,m,19.7,NA,3,20220401,C6,Undetermined,0,1,0,2,20211208,9.479825452,11.48732104,15.0677324,18.94896454,na,25.36530625,29.01730143,na,neg,-3.37,99.397,0.996,37.422,0.052
20211011,-8,-50,-8_2505,2505,2505 PID -8,18.8,na,na,na,y,dmh,y,n,na,na,n,n,NA,20210729,va,sr,vt,n,low,750,20211019,3,300,20211130,y,20210917,0.048,k,2,3,m,18.7,NA,3,20220401,B5,Undetermined,0,1,0,2,20211208,9.479825452,11.48732104,15.0677324,18.94896454,na,25.36530625,29.01730143,na,neg,-3.37,99.397,0.996,37.422,0.052
