"dpi.f","primary_treatment","CV","V2","PV","quantity1","lower_ci_pv","upper_ci_pv","lower_ci_cv","upper_ci_cv","lower_ci_v2","upper_ci_v2","n_individuals"
"-8","Sham",2.69504035768657,0.878982131236885,0.235718330284268,1.15054033167391,0.0850335241392157,0.384075801817774,1.86035924099323,4.88632664550366,0.777729196765139,0.957806690918622,46
"-8","Low",4.25992799050946,0.947772460130025,0.113824413570978,1.138661064,0,0.244768694322516,0,7.09776277157577,0,0.980536505905679,51
"-8","High",7.10214715128295,0.980560062333009,0.0377180165501585,1.01013610973585,0,0.108801970817765,0,7.10214715128295,0,0.980560062333009,53
"7","Sham",1.71567964782048,0.746421799468881,0.495407737285344,3.81669880267391,0.334808816775537,0.595389175149718,1.27231636720623,2.29179522976354,0.628618783108813,0.849420857300712,46
"7","Low",1.04189749492193,0.520510266819226,0.655282929642653,9799.89358948292,0.595602339499145,0.684359507165332,0.797066585158016,1.31433895077047,0.398816239320591,0.638046105198446,51
"7","High",0.197694084080256,0.0376129267131365,0.148301741208263,86674.4690854257,0.0810319819457375,0.240559244905239,0.076029698290109,0.310104335347314,0.00601530758478188,0.0885825608844953,53
"41","Sham",4.33566642115629,0.9494898559182,0.126266991112832,1.95457990936956,0,0.271535761111341,0,6.76334332217677,0,0.978606336715859,46
"41","Low",2.02275063320971,0.803595001960856,0.450456457058761,7.74438353642,0.284715703790554,0.575989930058558,1.5334046770177,2.84461933981345,0.697334596515029,0.890899662191793,50
"41","High",0.958517459427087,0.478828915237757,0.639644669773891,21.2602208324528,0.556147142593988,0.676981210731589,0.738463832377452,1.18191018005666,0.362372149514739,0.5750206208337,53
