"dpi.f","primary_treatment","CV","SD","PV","elisa_od","lower_ci_pv","upper_ci_pv","lower_ci_cv","upper_ci_cv","n_individuals"
"-8","Sham",0.0534146473413114,0.00246404090561441,0.0509128971368961,0.0461304347826087,0.0367895525087595,0.0646164530679977,0.0347902327740541,0.0711201282351428,46
"-8","Low",0.0728968695095261,0.00341185936312233,0.0731051570547502,0.0468039215686274,0.0560510771749766,0.0853571243090571,0.0573711874968929,0.0842290067221005,51
"-8","High",0.0631870841669317,0.00292925784524814,0.0633864144873643,0.0463584905660377,0.0484622951951104,0.0756886116730976,0.0477134042056176,0.0749523972045582,53
"14","Sham",0.0302508011679442,0.00133765261414503,0.0325350899306766,0.04421875,0.0244783495258153,0.0382235174758495,0.0227850109797831,0.0351278735897725,32
"14","Low",0.414157294342204,0.0251062151830244,0.264510034353566,0.06062,0.207609013176058,0.306358616419886,0.272770750936484,0.527650622821731,50
"14","High",0.324666594839034,0.0307881944464336,0.265977073341693,0.0948301886792453,0.217410611682602,0.300494924301313,0.263652161918292,0.370625640571047,53
"41","Sham",0.0710085356694676,0.00320001509658275,0.0591735364332195,0.0450652173913043,0.0402578606558913,0.0790914611715972,0.0369357532604809,0.099234097092034,46
"41","Low",0.152690552132076,0.00734746936859549,0.125677986271262,0.04812,0.0929947121986516,0.152705445056764,0.105121908900681,0.188886835853174,50
"41","High",0.260564583843796,0.015029168543594,0.18708483283115,0.0576792452830189,0.144140808849322,0.226441986655326,0.160242527774185,0.33825351338577,53
