"date","dpi","dpsi","bird_ID","band_number","swab_id","mass","l_eye_score","r_eye_score","scorer","swab","swabber","plasma","tears","tears_vol_l","tears_vol_r","rbcs","smear","experiment_notes","capture_date","population","capture_location","experiment_location","antimalarials","primary_treatment","primary_dose","primary_inoc_date","secondary_treatment","secondary_dose","secondary_inoc_date","recovered_prior_sec","elisa_date","od_mean","room","stack","cage","sex","mass_cap","vital_notes","qpcr_plate","qpcr_date","well","cq_value","quantity","quantity1","log10_quantity1","extraction_plate","extraction_date","cq8","cq7","cq6","cq5","cq4","cq3","cq2","cq1","qpcr_neg_cntrls","slope","efficiency","r2","yinter","error","ELISA.Run.Date","elisa_od","elisa_cv","MG.....OD.0.0621.","ELISA.notes","tes","threshold_cutoff","seropos_cutoff","pathology_cutoff","quantity_clean","day_inf","inf","inf_pri","inf_sec"
20211221,63,"21","63_2274","2274","2274 SID 21","na",0,0,"dmh","y","dmh","n","n","na","na","na","na",NA,20210616,"va","mh","vt","n","High",30000,20211019,4,7000,20211130,"y","20210908","0.046","h","4","4","Female",17.6,"did not receive Cankerex until 7/5/21, got ampho B H2O starting 8/5",16,20220414,"F7","31.14943169",70.9998083,71.9998083,1.85733134,12,20220211,"9.313324593",12.0047658,15.02507223,"18.2874533","21.45327907","na",29.39667,"na","neg",-3.36,99.438,0.994,37.324,"0.063",NA,NA,NA,NA,NA,0,50,0.061,0,70.9998083,1,1,1,1
20211011,-8,"-50","-8_2275","2275","2275 PID -8","20.4",NA,NA,"na","y","dmh","y","n","na","na","n","n",NA,20210616,"va","mh","vt","n","Sham",0,20211019,2,100,20211130,"y","20210908","0.042","l","1","4","Female",19.5,"cage injury above eyes, did not receive Cankerex until 7/5/21, got ampho B H2O starting 8/5",3,20220401,"B9","Undetermined",0,1,0,2,20211208,"9.479825452",11.48732104,15.0677324,"18.94896454","na","25.36530625",29.01730143,"na","neg",-3.37,99.397,0.996,37.422,"0.052","6.23.22",0.048,4.466,"-","",0,50,0.061,0,0,0,0,0,0
20211026,7,"-35","7_2275","2275","2275 PID 7","na",0,0,"dmh","y","dmh","n","n","na","na","na","na",NA,20210616,"va","mh","vt","n","Sham",0,20211019,2,100,20211130,"y","20210908","0.042","l","1","4","Female",19.5,"cage injury above eyes, did not receive Cankerex until 7/5/21, got ampho B H2O starting 8/5",9,20220411,"A8","Undetermined",0,1,0,7,20220204,"na",12.53148867,15.72988284,"18.75386348","22.32475872","25.96256782",29.11519124,"32.54947164","neg",-3.358,98.503,0.999,37.826,"0.022",NA,NA,NA,NA,NA,0,50,0.061,0,0,0,0,0,0
20211103,14,"-27","15_2275","2275","na","19.1",0,0,"dmh","n","na","y","n","na","na","n","n",NA,20210616,"va","mh","vt","n","Sham",0,20211019,2,100,20211130,"y","20210908","0.042","l","1","4","Female",19.5,"cage injury above eyes, did not receive Cankerex until 7/5/21, got ampho B H2O starting 8/5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7.12.22",0.044,2.11,"-","",0,50,0.061,0,0,0,0,0,0
20211109,21,"-21","21_2275","2275","na","19.6",0,0,"dmh","n","na","n","y","6","4","na","na",NA,20210616,"va","mh","vt","n","Sham",0,20211019,2,100,20211130,"y","20210908","0.042","l","1","4","Female",19.5,"cage injury above eyes, did not receive Cankerex until 7/5/21, got ampho B H2O starting 8/5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,50,0.061,0,0,0,0,0,0
20211116,28,"-14","28_2275","2275","na","na",0,0,"dmh","n","na","n","n","na","na","na","na",NA,20210616,"va","mh","vt","n","Sham",0,20211019,2,100,20211130,"y","20210908","0.042","l","1","4","Female",19.5,"cage injury above eyes, did not receive Cankerex until 7/5/21, got ampho B H2O starting 8/5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,50,0.061,0,0,0,0,0,0
20211123,35,"-7","35_2275","2275","na","na",0,0,"dmh","n","na","n","n","na","na","na","na",NA,20210616,"va","mh","vt","n","Sham",0,20211019,2,100,20211130,"y","20210908","0.042","l","1","4","Female",19.5,"cage injury above eyes, did not receive Cankerex until 7/5/21, got ampho B H2O starting 8/5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,50,0.061,0,0,0,0,0,0
20211129,41,"-1","41_2275","2275","2275 PID 41","19.3",0,0,"dmh","y","dmh","y","n","na","na","y","n",NA,20210616,"va","mh","vt","n","Sham",0,20211019,2,100,20211130,"y","20210908","0.042","l","1","4","Female",19.5,"cage injury above eyes, did not receive Cankerex until 7/5/21, got ampho B H2O starting 8/5",5,20220404,"G4","Undetermined",0,1,0,3,20220126,"8.921",11.05,14.391,"18.575","na","25.11",29.042,"na","neg",-3.426,95.822,0.996,37.559,"0.058","9.9.22",0.044,1.294,"-","",0,50,0.061,0,0,0,0,0,0
20211204,46,"4","46_2275","2275","2275 SID 4","na",0,0,"dmh","y","dmh","n","n","na","na","na","na",NA,20210616,"va","mh","vt","n","Sham",0,20211019,2,100,20211130,"y","20210908","0.042","l","1","4","Female",19.5,"cage injury above eyes, did not receive Cankerex until 7/5/21, got ampho B H2O starting 8/5",8,20220411,"A8","Undetermined",0,1,0,6,20220128,"na",12.56955573,15.66132993,"18.77090311","22.28211321","25.95696434",28.97839776,"32.08408772","neg",-3.299,100.978,0.999,37.458,"0.026",NA,NA,NA,NA,NA,0,50,0.061,0,0,0,0,0,0
20211207,49,"7","49_2275","2275","2275 SID 7","na",0,0,"dmh","y","dmh","n","n","na","na","na","na","Reused forceps",20210616,"va","mh","vt","n","Sham",0,20211019,2,100,20211130,"y","20210908","0.042","l","1","4","Female",19.5,"cage injury above eyes, did not receive Cankerex until 7/5/21, got ampho B H2O starting 8/5",11,20220412,"A10","Undetermined",0,1,0,8,20220204,"na",11.86143101,15.1936193,"na","22.22321452","25.68560426",28.8887188,"32.02938467","neg",-3.389,97.283,0.999,37.624,"0.028",NA,NA,NA,NA,NA,0,50,0.061,0,0,0,0,0,0
